CQC Location ID,CQC Provider ID,Hospital Name,Provider Name,Address Line 1,Address Line 2,Town/City,County,Postal Code,Region,Local Authority,Constituency,Latitude,Longitude,Phone,Website,Number of Beds,Has Beds,Registration Date,Rating,Rating Date,Service Types,Specialisms,Companies House Number,Last Updated
1-114202293,1-101728704,The London Welbeck Hospital,Welbeck Healthcare Limited,27 Welbeck Street,,London,,W1G 8EN,London,Westminster,Cities of London and Westminster,51.5182388,-0.1494374,02072242242,www.londonwelbeckhospital.co.uk,21,Yes,2011-01-27,Not rated,,Hospital,Services for everyone,03310139,2025-11-01T23:11:13.174Z
1-114202635,1-101729255,King Edward VII's Hospital,King Edward VII's Hospital Sister Agnes,5-10 Beaumont Street,,London,,W1G 6AA,London,Westminster,Cities of London and Westminster,51.5207794,-0.1503002,02074674563,www.kingedwardvii.co.uk,65,Yes,2011-01-12,Not rated,,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs,,2025-11-01T23:11:13.400Z
1-114617347,1-101728696,The London Clinic,Trustees of The London Clinic Limited,20 Devonshire Place,,London,,W1G 6BW,London,Westminster,Cities of London and Westminster,51.5230236,-0.1500506,02079354444,www.thelondonclinic.co.uk,0,No,2011-01-25,Good,2021-12-20,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs,00307579,2025-11-01T23:11:15.255Z
1-115480780,1-101728712,Hospital of St John & St Elizabeth,The Hospital Of St John And St Elizabeth,60 Grove End Road,St John's Wood,London,,NW8 9NH,London,Westminster,Cities of London and Westminster,51.533473,-0.175461,02078064000,www.hje.org.uk,110,Yes,2011-01-11,Good,2024-03-28,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children; Dementia; Eating disorders; Physical disabilities; Sensory impairment,02808390,2025-11-01T23:11:17.294Z
1-11984358600,1-102643516,Nuffield Health at St Bartholomew's Hospital,Nuffield Health,38 Giltspur Street,,London,,EC1A 7BS,London,City of London,Cities of London and Westminster,51.5176882,-0.1009896,,www.nuffieldhealth.com/hospitals/st-bartholomews,0,No,2022-04-20,Not rated,,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Physical disabilities; Sensory impairment,00576970,2025-11-01T23:11:26.051Z
1-126955711,1-101728688,HCA Healthcare UK The Wellington Hospital,HCA International Limited,Wellington Place,St John's Wood,London,,NW8 9LE,London,Westminster,Cities of London and Westminster,51.5315514,-0.1714471,02074835148,www.thewellingtonhospital.com,266,Yes,2010-11-12,Good,2023-06-16,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children; Physical disabilities,03020522,2025-11-01T23:11:34.110Z
1-126955732,1-101728688,HCA Healthcare UK The Princess Grace Hospital,HCA International Limited,42-52 Nottingham Place,,London,,W1U 5NY,London,Westminster,Cities of London and Westminster,51.5223688,-0.1529041,02074861234,www.theprincessgracehospital.com,120,Yes,2010-11-12,Good,2021-08-23,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children,03020522,2025-11-01T23:11:34.212Z
1-126955771,1-101728688,HCA Healthcare UK The Harley Street Clinic,HCA International Limited,35 Weymouth Street,,London,,W1G 8BJ,London,Westminster,Cities of London and Westminster,51.520357,-0.148195,02079357700,www.theharleystreetclinic.com,121,Yes,2010-11-12,Outstanding,2023-04-20,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children,03020522,2025-11-01T23:11:34.332Z
1-126955884,1-101728688,HCA Healthcare UK The Lister Hospital,HCA International Limited,Chelsea Bridge Road,,London,,SW1W 8RH,London,Westminster,Cities of London and Westminster,51.48652,-0.1504776,02077307733,www.thelisterhospital.com,76,Yes,2010-11-12,Outstanding,2024-03-13,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children; Services for everyone,03020522,2025-11-01T23:11:35.079Z
1-126955902,1-101728688,HCA Healthcare UK London Bridge Hospital,HCA International Limited,27 Tooley Street,,London,,SE1 2PR,London,Southwark,Bermondsey and Old Southwark,51.506327,-0.085893,02074073100,www.londonbridgehospital.com,103,Yes,2010-11-12,Outstanding,2023-09-25,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs,03020522,2025-11-01T23:11:35.198Z
1-126955917,1-101728688,HCA Healthcare UK The Portland Hospital,HCA International Limited,"205-209, 214 and 234 Great Portland Street",,London,,W1W 5AH,London,Westminster,Cities of London and Westminster,51.5231854,-0.14435,02075804400,www.theportlandhospital.com,110,Yes,2010-11-12,Good,2022-05-26,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children; Physical disabilities; Sensory impairment,03020522,2025-11-01T23:11:35.584Z
1-12816317745,1-11062265905,Cleveland Clinic London Hospital,Cleveland Clinic London Ltd,33 Grosvenor Place,,London,,SW1X 7HY,London,Westminster,Cities of London and Westminster,51.4992646,-0.1488954,02034237000,www.clevelandcliniclondon.uk,0,No,2022-03-24,Not rated,,Hospital; Doctors/Gps,Caring for adults over 65 yrs; Caring for adults under 65 yrs,09915684,2025-11-01T23:11:38.080Z
1-128758337,1-102643500,Bishops Wood Hospital,Circle Health Group Limited,Rickmansworth Road,Northwood,London,,HA6 2JW,London,Hillingdon,"Ruislip, Northwood and Pinner",51.6164548,-0.4465004,01923835814,www.circlehealthgroup.co.uk/hospitals/bishops-wood-hospital,42,Yes,2011-05-11,Good,2021-10-19,Hospital; Diagnosis/screening,Caring for adults over 65 yrs; Caring for adults under 65 yrs,02164270,2025-11-01T23:11:38.625Z
1-128758401,1-102643500,Chelsfield Park Hospital,Circle Health Group Limited,Buck Cross Road,Chelsfield,Orpington,Kent,BR6 7RG,London,Bromley,Orpington,51.3584863,0.1313912,01689877855,www.circlehealthgroup.co.uk/hospitals/chelsfield-park-hospital,50,Yes,2011-05-11,Good,2016-12-06,Hospital; Diagnosis/screening,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children; Physical disabilities; Sensory impairment,02164270,2025-11-01T23:11:38.743Z
1-128758547,1-102643500,The Blackheath Hospital,Circle Health Group Limited,40-42 Lee Terrace,Blackheath,London,,SE3 9UD,London,Lewisham,Lewisham North,51.4634743,0.0062905,02083187722,www.circlehealthgroup.co.uk/hospitals/the-blackheath-hospital,0,No,2011-05-11,Good,2019-05-16,Hospital; Diagnosis/screening,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children; Physical disabilities; Sensory impairment,02164270,2025-11-01T23:11:39.047Z
1-128758601,1-102643500,The Cavell Hospital,Circle Health Group Limited,Cavell Drive,"Uplands Park Road, Enfield",Enfield,Middlesex,EN2 7PR,London,Enfield,Enfield North,51.659225,-0.101361,02083623640,www.circlehealthgroup.co.uk/hospitals/the-cavell-hospital,45,Yes,2011-05-11,Good,2019-08-20,Hospital,Caring for adults over 65 yrs; Caring for adults under 65 yrs; Caring for children; Physical disabilities; Sensory impairment,02164270,2025-11-01T23:11:39.170Z
